City,Zipcode,Marital_Status,Family_Size,Credit_Score,Current_Residence,Annual_Income,DTI,Location,Square_Footage,Upgrade_Score,Bedroom_Count,Bathroom_Count,Master_Location,Lot_Size,Closing_Date,Appraised_Value,Price,Closing_Interest_Rate,Monthly_Payment,Loan_Term,Feedback,Inflation_Rate,Unemployment_Rate,Current_Market_Interest_Rate,Year_Closed,Median_Price_of_Nearby_Homes,Sentiment_Score
Aubrey,60047,Married,3,843,Rent,62440.74184145563,0.2446472682249153,Urban,1341.0322939844093,4,1,2,Downstairs,1.5294002166885967,2022-05-31,238084,283429.3038792081,5.428106645227435,3813,17,"The home is fantastic, I love the upgrades!",1.1767985749357552,6.632290272698427,4.225895553347419,2020,688355,0.5125
Dallas,64492,Unmarried,4,683,Rent,130306.53966606225,0.5207343049765393,Urban,2221.0235581359416,5,1,3,Upstairs,1.4362556741493413,2020-01-04,998537,514175.59008699626,5.797702553652443,4974,30,"The home is fantastic, I love the upgrades!",2.561382916391178,2.953579060136809,2.2401422785629723,2020,104621,0.5125
Fate,30131,Unmarried,4,513,Own,103680.87681265848,0.2588084022059556,Urban,1457.0084903106717,3,3,1,Upstairs,1.5451519753157916,2021-04-24,586242,253509.2014051647,4.961625144155484,3090,19,The process was smooth but some issues with the kitchen.,8.292991921358201,6.540220940924632,4.748165841215382,2020,807654,0.4
Dallas,63465,Unmarried,3,825,Own,143435.38742524665,0.0656571845038982,Urban,2951.2907502534417,4,3,1,Upstairs,1.2108625174968903,2023-11-20,482247,507578.9633957524,4.602817464396916,2698,30,"The home is fantastic, I love the upgrades!",2.2230152949740036,3.6815652836796593,2.2401422785629723,2023,247607,0.5125
Frisco,41165,Married,1,413,Own,93659.11410243613,0.5140000141134242,Urban,1722.2828216857602,4,4,1,Upstairs,1.2327941767147603,2020-01-04,100089,216269.79395274224,5.906385182421435,4974,30,"Very happy with the final product, but the timeline was delayed.",0.005665144307003267,3.6433822705656347,6.336121515028052,2021,372608,0.5
Fate,14718,Married,1,690,Own,44605.30163311063,0.45959686631664154,Rural,500.0,2,1,2,Downstairs,1.9733532516116845,2022-06-28,904843,161763.4288489644,3.281114692542177,4974,15,The process was smooth but some issues with the kitchen.,0.8911190145812521,9.94994468693818,2.2401422785629723,2020,104621,0.4
Dallas,48767,Married,1,697,Own,38400.820471695115,0.0911962192463456,Rural,842.0053816016698,1,1,2,Downstairs,1.6242471438348038,2020-01-04,984048,214421.11453909313,5.228679636352782,4974,30,Had a terrible experience with the customer service.,4.33930337115433,4.46547238048966,3.8309839120651663,2020,196514,-1.0
Aubrey,64859,Married,1,843,Own,62083.03761775796,0.394168999114714,Urban,1394.0399028290392,3,1,2,Downstairs,1.1581265852471105,2021-07-03,740499,100000.0,4.392645363026945,3068,29,The process was smooth but some issues with the kitchen.,1.516490150247777,0.06262259446652818,3.610360280124225,2022,136971,0.4
Little Elm,28907,Unmarried,3,622,Own,157559.06337277114,0.6789791226069216,Suburban,2121.7724165861937,4,1,2,Upstairs,0.10729491039206343,2020-08-01,100089,529991.4781099623,3.8574306976237733,4855,15,"Very happy with the final product, but the timeline was delayed.",1.0628656916650456,0.06262259446652818,2.7701201896654237,2021,786205,0.5
Little Elm,28845,Married,3,843,Rent,34892.95050466764,0.05109163211979683,Suburban,773.9693445678926,5,1,2,Upstairs,1.9211571407901045,2020-02-29,541595,216645.4648403286,4.868335237491999,4927,15,"Very happy with the final product, but the timeline was delayed.",1.6048054560318668,8.551818511103292,4.741587421588109,2022,104621,0.5
Little Elm,23365,Married,1,577,Rent,24796.361342344397,0.49870172566493026,Urban,500.0,2,1,1,Upstairs,1.5233865736537455,2021-03-22,998537,100000.0,4.078484507506035,4974,21,"Very happy with the final product, but the timeline was delayed.",0.005665144307003267,5.6787022841264445,4.084948656563681,2021,907775,0.5
Josephine,10709,Unmarried,2,614,Own,110059.71292602707,0.4569873235386338,Rural,1472.6662330214776,2,1,1,Upstairs,1.918000226603302,2021-06-25,709326,208891.96109566058,7.411487082098828,3429,18,"Very happy with the final product, but the timeline was delayed.",2.5239074755630284,3.731860270429191,4.9937674249231705,2020,362130,0.5
Fate,61630,Married,1,843,Rent,119258.89317385103,0.23717655126480688,Urban,2507.3212952181707,1,4,1,Downstairs,1.601498938741568,2022-08-29,128203,495707.0098311522,6.676858166219544,1932,30,Had a terrible experience with the customer service.,1.5991655562548361,1.3688728814790663,5.4814582584449,2021,535264,-1.0
Josephine,10709,Married,2,657,Rent,152381.81719847952,0.28938841244137764,Rural,2819.617198686999,3,1,2,Downstairs,0.7238545607439242,2021-06-24,180467,590426.8046053983,4.434465886677948,4974,30,The process was smooth but some issues with the kitchen.,0.005665144307003267,5.215004580972628,2.3609848104413067,2021,290530,0.4
Fate,50325,Married,2,843,Own,87196.42285755769,0.34338189423896887,Suburban,1488.721710553683,2,1,2,Upstairs,1.304624885639774,2022-09-11,272188,398015.4262114193,4.716220775156248,4130,30,The process was smooth but some issues with the kitchen.,5.008945854479672,0.15762582640265155,2.2401422785629723,2020,764604,0.4
Little Elm,74573,Married,3,639,Rent,129065.80313955033,0.20518888091377174,Suburban,2151.2499420917648,2,1,1,Downstairs,1.4300895676279262,2022-07-07,990132,500054.885083831,3.842781391517162,4776,15,The process was smooth but some issues with the kitchen.,4.349088277264929,2.806033728552288,3.640451413475671,2021,513222,0.4
Dallas,10709,Unmarried,1,826,Own,141647.4815712536,0.46493295793884776,Suburban,2193.2471227389487,2,1,2,Upstairs,1.6085271339702683,2021-06-03,998537,335033.20734160463,2.5248681817742606,4572,29,The process was smooth but some issues with the kitchen.,0.005665144307003267,4.691009457001103,4.685019651819458,2021,347137,0.4
Josephine,14103,Married,1,524,Rent,83724.15097905514,0.5079608777680992,Rural,1665.058907408777,2,4,2,Downstairs,0.10729491039206343,2023-04-20,355890,379275.7780867324,5.81113535656222,3829,19,The process was smooth but some issues with the kitchen.,9.47944804601914,6.173460660295323,4.659242926608787,2021,423056,0.4
Fate,71217,Unmarried,1,677,Own,107438.8847675503,0.46111148313524214,Urban,2030.0760727211402,3,1,1,Upstairs,0.10729491039206343,2022-11-01,715992,536837.836546979,4.748437975322418,4217,17,The process was smooth but some issues with the kitchen.,7.873432588463042,4.776578264254272,2.2401422785629723,2021,630578,0.4
Fate,86757,Married,1,659,Rent,148347.66918456746,0.5112166006471913,Urban,3111.5598900590403,4,4,2,Downstairs,0.8932411994646188,2021-06-10,417940,678654.0778273104,5.583351472528395,2854,16,"Very happy with the final product, but the timeline was delayed.",5.981204351091096,3.077820409182845,2.2401422785629723,2020,374183,0.5
Aubrey,22511,Married,2,449,Own,78094.03133390316,0.25333709644156804,Suburban,1236.9394783956227,1,1,2,Upstairs,1.7344198210869155,2022-06-06,956445,273749.7354607194,7.191108871128626,4740,30,Had a terrible experience with the customer service.,5.828777031286338,2.829265876879495,6.785688858332396,2022,990414,-1.0
Celina,58085,Married,2,765,Rent,116887.08090886881,0.5087283395911338,Urban,2253.5252118948224,2,2,2,Upstairs,1.9733532516116845,2023-07-13,556272,408821.7344210513,4.88192569649544,4974,16,The process was smooth but some issues with the kitchen.,0.005665144307003267,2.4104824947565247,2.2401422785629723,2021,350941,0.4
Dallas,26089,Married,4,843,Own,71323.24827163125,0.12144210706824381,Urban,1122.5663400246053,5,2,1,Upstairs,0.10729491039206343,2022-08-26,349309,180745.74670060253,2.7687795588921342,3874,28,"The home is fantastic, I love the upgrades!",7.501243870314724,0.8832393085509818,4.6460488213450715,2023,553677,0.5125
Aubrey,53216,Married,1,843,Own,93037.98677199011,0.151149813472247,Suburban,1876.5195216509774,2,1,2,Upstairs,0.7631240660587107,2022-03-26,359805,270019.03410284483,5.658489938238066,4974,28,The process was smooth but some issues with the kitchen.,9.957680742379672,9.94994468693818,5.052398715486331,2021,345900,0.4
Frisco,18986,Married,3,843,Rent,119223.02709417362,0.15519647537940143,Suburban,2911.2056264456596,3,1,1,Downstairs,1.811366374367227,2020-01-04,463505,610584.9805315479,3.8262615935365543,3922,15,"Very happy with the final product, but the timeline was delayed.",1.030301722172985,1.7253867471257331,2.2401422785629723,2020,439625,0.5
Josephine,10709,Married,4,571,Rent,152938.28073447468,0.19963881882931767,Urban,2845.9002080570303,4,1,2,Downstairs,0.8853170983225416,2022-08-04,107719,501955.42682601383,4.283486075216485,4974,15,"The home is fantastic, I love the upgrades!",3.225268893343155,2.556930110224683,3.870000260103394,2021,821914,0.5125
McKinney,40716,Married,2,767,Rent,132693.69335544007,0.32141845910411226,Suburban,2238.2803576905812,4,1,2,Upstairs,0.862806150771646,2021-10-30,868813,315754.6817586506,5.632123138521746,2495,30,"Very happy with the final product, but the timeline was delayed.",2.067614407278426,1.5278266527433382,2.2401422785629723,2021,814813,0.5
Dallas,62219,Unmarried,1,793,Rent,106708.43774285792,0.29784986349806475,Rural,2260.7619075450953,3,1,1,Downstairs,1.8530257141822346,2021-05-19,626707,391745.22919183545,7.257901137554299,4158,30,"Very happy with the final product, but the timeline was delayed.",0.8466098133971627,0.06262259446652818,2.2401422785629723,2020,990414,0.5
Little Elm,71574,Unmarried,3,843,Rent,98831.18144523315,0.1920839333250906,Suburban,1687.681901843727,5,2,2,Downstairs,0.6306168868472397,2020-07-23,955570,330148.389221392,3.0667716737827106,4273,30,"Very happy with the final product, but the timeline was delayed.",9.957680742379672,9.94994468693818,3.9810766957029298,2020,852032,0.5
Aubrey,45365,Married,1,637,Rent,156767.70245543728,0.3606344478090818,Urban,2473.328449877797,2,4,2,Upstairs,1.039128654629038,2022-04-22,627827,508233.02804987616,7.411487082098828,4956,20,The process was smooth but some issues with the kitchen.,5.465682290364432,0.10952812023251868,5.405126435534433,2020,104621,0.4
Celina,37070,Married,2,767,Own,51861.49096257301,0.6918170703256245,Urban,631.0627703289603,2,1,1,Upstairs,1.9733532516116845,2020-01-04,161272,164407.84260334482,4.993493702600429,3292,30,"Very happy with the final product, but the timeline was delayed.",0.005665144307003267,1.2743099080744322,3.827061857227178,2021,622255,0.5
Little Elm,50288,Unmarried,2,539,Own,47973.93237556135,0.14736831933533504,Suburban,500.0,4,1,3,Upstairs,0.9334785413491068,2020-09-16,520586,100000.0,4.11567473982538,4974,30,"Very happy with the final product, but the timeline was delayed.",4.235000159256106,3.700829703315961,2.2401422785629723,2021,104621,0.5
Celina,44456,Unmarried,4,664,Own,91325.65701943004,0.5061370672876546,Urban,1463.9906486646944,2,3,3,Downstairs,0.4722853929058538,2020-01-04,931074,213365.2234144632,4.237980845044381,2041,15,The process was smooth but some issues with the kitchen.,7.428061691176798,5.7192427348470405,2.2401422785629723,2021,163305,0.4
McKinney,85191,Married,2,843,Rent,53483.967919685456,0.44424738772923017,Suburban,1553.247410868652,5,4,1,Downstairs,1.687607275004225,2022-04-28,998537,398663.9437259459,3.1204199967798116,1058,30,"The home is fantastic, I love the upgrades!",6.102109200655182,1.1589840281419685,4.643135571520073,2020,472107,0.5125
Aubrey,84641,Unmarried,1,610,Own,126357.40940540117,0.4357443113231472,Urban,2264.68233936845,2,3,2,Upstairs,1.6292268151472813,2021-04-11,857099,491081.7180548236,6.738409047555469,4492,29,The process was smooth but some issues with the kitchen.,0.777211585800015,3.664721423317708,2.66712588488879,2022,904316,0.4
Dallas,30232,Married,1,758,Rent,146778.4378256518,0.46369578467573797,Urban,2492.9570687487976,3,2,3,Upstairs,1.1205099403793481,2023-10-24,100089,529254.0460868635,7.411487082098828,2398,30,The process was smooth but some issues with the kitchen.,8.764124853405614,7.2556932518610155,4.228859601779577,2020,990414,0.4
Josephine,54105,Married,3,649,Rent,109613.22204482427,0.4560215172879782,Suburban,2492.7371472175096,2,1,2,Upstairs,0.5161951737676139,2021-07-03,494610,529181.8054385216,4.753019357386716,3321,15,The process was smooth but some issues with the kitchen.,3.8302990067873406,0.06262259446652818,2.47124048236551,2020,164695,0.4
Frisco,40487,Married,3,674,Own,32973.51215604665,0.1998209878884479,Rural,811.2045130592095,4,2,1,Upstairs,1.3474492494518049,2020-12-21,587786,219176.03191188534,5.561544210726696,4974,19,"The home is fantastic, I love the upgrades!",9.957680742379672,4.673995257670427,2.7786254990900017,2021,873092,0.5125
Aubrey,22547,Unmarried,1,729,Own,149101.72198819192,0.17408325427542193,Urban,2967.2437992223895,5,4,2,Downstairs,1.5362769651986443,2020-01-04,177859,606300.6233903145,3.7767675614272602,3840,27,"Very happy with the final product, but the timeline was delayed.",1.8663079274165995,4.050820101282614,2.2401422785629723,2022,170866,0.5
Josephine,26561,Unmarried,1,843,Own,109251.96947448276,0.47330243296479574,Rural,2102.3630082020068,3,2,2,Upstairs,0.10729491039206343,2022-02-05,100089,332092.61954681226,6.072160780307984,4974,28,"Very happy with the final product, but the timeline was delayed.",0.08150277597730127,3.414862807169465,3.487635120355001,2020,697467,0.5
Aubrey,10709,Unmarried,1,635,Own,142381.52127384715,0.38231933974669297,Urban,3189.1057966742624,4,4,1,Downstairs,1.9226230591553204,2022-04-25,100089,715502.6340607925,2.5248681817742606,2788,17,"Very happy with the final product, but the timeline was delayed.",4.140638075591445,2.8090599872344795,4.567853921795258,2021,866164,0.5
Fate,50199,Unmarried,3,577,Own,132088.0678294656,0.7307410815680582,Urban,2081.629793448644,3,1,2,Upstairs,1.2414131582709964,2020-01-04,819056,401091.4144262687,4.677554351010634,3732,15,The process was smooth but some issues with the kitchen.,7.576070816846146,6.3176384397120255,5.675478949015931,2020,799591,0.4
Little Elm,56544,Unmarried,3,572,Rent,122828.5328808251,0.5427199195972927,Rural,2638.0235444672257,5,1,1,Downstairs,1.5110184019859618,2022-06-30,509981,507968.1500556467,4.280457698709955,2813,30,"Very happy with the final product, but the timeline was delayed.",3.6307823905541374,2.983001501193571,2.3212141636825363,2022,290561,0.5
Dallas,23753,Unmarried,1,603,Rent,111739.2587246513,0.31767096120302474,Rural,2105.3614571185644,2,2,3,Upstairs,0.1863515436418931,2021-03-11,296786,449194.47595179203,3.8849359991591688,4047,15,The process was smooth but some issues with the kitchen.,1.6830222526227223,0.06262259446652818,2.2401422785629723,2021,990414,0.4
Celina,56989,Unmarried,2,423,Rent,136082.63143828945,0.11544563544033606,Suburban,2303.6435329143824,4,1,1,Downstairs,0.11396577578707934,2022-02-21,587199,552238.8568850204,4.950080574952094,3659,28,"Very happy with the final product, but the timeline was delayed.",6.04748772712857,7.414217486771101,2.9823166547588196,2020,137644,0.5
Frisco,71533,Married,3,843,Own,100533.81317445268,0.13752638793224725,Urban,1754.785290676356,4,3,2,Downstairs,0.8023098677002497,2020-11-09,207349,377097.9289012861,3.579868406712023,4737,15,"Very happy with the final product, but the timeline was delayed.",3.331336279142125,4.085414356596965,4.20930000045767,2022,990414,0.5
Aubrey,10709,Unmarried,3,470,Rent,47033.802554765134,0.08040401964358633,Rural,877.9906296939106,3,1,1,Downstairs,1.9733532516116845,2021-07-16,477352,108411.9348544956,5.4733808519254925,3625,30,The process was smooth but some issues with the kitchen.,2.4203924093029796,0.06262259446652818,4.756108781844893,2022,104621,0.4
Little Elm,10709,Unmarried,1,300,Own,116427.08551456087,0.4580773707133829,Suburban,1970.5310397887358,1,3,2,Upstairs,1.0504944359273782,2020-11-24,286882,345862.82278541883,4.310751560427395,4974,18,Had a terrible experience with the customer service.,0.005665144307003267,3.531373542598131,2.2401422785629723,2020,865910,-1.0
Dallas,12719,Married,1,318,Rent,129292.23260536416,0.2119253675200288,Suburban,2051.5021287753657,3,3,2,Upstairs,1.9535472993580139,2022-02-12,998537,352572.92393614457,5.3527044864329625,4058,15,"Very happy with the final product, but the timeline was delayed.",6.4462710080076,5.970584150598847,4.803579954497161,2020,892559,0.5
Frisco,88425,Married,1,727,Own,25945.375223877665,0.02692240547403751,Rural,500.0,3,2,1,Upstairs,1.3924013928521952,2021-08-13,476049,128382.45419541685,5.2370861987983925,2873,17,"Very happy with the final product, but the timeline was delayed.",0.9677283595764887,0.06262259446652818,5.046018821952709,2020,776140,0.5
Fate,80699,Married,1,708,Rent,40997.305431329674,0.5324116306982423,Suburban,915.2720881063004,2,1,1,Upstairs,1.4670371926345347,2020-01-04,998537,100000.0,5.775971574714899,1707,30,The process was smooth but some issues with the kitchen.,7.7747964232833535,0.06262259446652818,3.313792640842764,2022,402669,0.4
Aubrey,58804,Married,1,561,Rent,138261.05244082748,0.34573102584023274,Rural,2602.5967953586937,3,1,2,Upstairs,1.8171039587595141,2020-11-17,513271,520446.334490884,5.699317454417143,4974,15,"Very happy with the final product, but the timeline was delayed.",2.8442069885017878,6.246945137622101,2.2401422785629723,2020,474508,0.5
Aubrey,10709,Unmarried,4,667,Own,65473.824282744055,0.3170878517126498,Rural,1236.8202855299696,2,3,2,Upstairs,1.9733532516116845,2020-01-04,464037,295270.72885107796,3.141107132118247,4974,28,"Very happy with the final product, but the timeline was delayed.",5.3168423807265945,4.729165385995264,2.2401422785629723,2020,824034,0.5
Celina,10709,Unmarried,3,736,Own,75443.6905135533,0.5329202091702884,Suburban,2097.3416472209587,2,2,3,Downstairs,0.3070869302945451,2021-02-27,504123,281435.28429095994,4.996003768422062,3314,18,The process was smooth but some issues with the kitchen.,4.323603086375369,9.849477114848442,3.713758691183374,2021,762598,0.4
Little Elm,91727,Married,1,843,Rent,111429.16412002461,0.05959485115970475,Urban,1985.410971494526,2,2,2,Upstairs,1.9733532516116845,2021-03-28,244384,378889.8543029394,3.8160398598909655,4414,30,"Very happy with the final product, but the timeline was delayed.",0.8996794641231258,0.48138894757124717,3.5128455637669966,2021,104621,0.5
Frisco,19491,Unmarried,2,497,Rent,14499.645959463376,0.0016929467590313164,Suburban,500.0,3,3,1,Downstairs,1.8681110639177803,2022-07-12,100089,107525.01074322495,5.419539561002831,3332,19,The process was smooth but some issues with the kitchen.,2.787887381149445,0.06262259446652818,2.2401422785629723,2020,353525,0.4
Aubrey,76481,Unmarried,1,843,Rent,118506.96909067815,0.20315229083868835,Suburban,2196.787600840918,3,1,1,Upstairs,0.6491742803141926,2021-07-29,979659,384143.06709789706,4.159269869153615,3921,18,"Very happy with the final product, but the timeline was delayed.",2.914737175851707,0.06262259446652818,7.20298288145994,2021,656799,0.5
Dallas,42389,Unmarried,1,625,Own,52715.052155976366,0.49168529435003927,Suburban,765.6882915682755,3,3,2,Upstairs,0.7261714006540253,2020-01-04,243258,200728.6469908859,4.02303921855728,4974,18,The process was smooth but some issues with the kitchen.,6.290968876866356,4.7815189896900705,2.2401422785629723,2020,268958,0.4
Aubrey,13537,Married,1,533,Rent,143497.51832823997,0.04858797594199228,Urban,2539.4482491770486,2,2,2,Downstairs,1.1321615693459846,2022-11-11,100089,359190.3978165301,3.0516632245038307,4617,15,"Very happy with the final product, but the timeline was delayed.",0.7394570680853048,1.8114779869058424,2.2401422785629723,2022,104621,0.5
Dallas,10709,Unmarried,2,827,Own,14569.026570339933,0.36481607266332683,Urban,500.0,3,2,2,Upstairs,0.6390453029486862,2021-08-17,389188,100000.0,3.362523584613012,4974,19,The process was smooth but some issues with the kitchen.,0.9480564927606601,1.8794756916033881,4.85099731080323,2023,558963,0.4
Dallas,55289,Unmarried,1,502,Own,115799.54473859494,0.1865673232971523,Suburban,2183.623921622487,3,3,1,Upstairs,1.4699243851293846,2020-01-04,883162,423182.5316652387,3.346589025657437,4974,16,The process was smooth but some issues with the kitchen.,0.005665144307003267,3.422234388321877,3.3294060093109623,2021,104621,0.4
Little Elm,10709,Unmarried,1,672,Own,154291.95574106296,0.47385355839948884,Rural,2769.760851616201,2,4,2,Downstairs,0.6798675344818567,2021-05-13,100089,487943.2169530822,4.524514402777596,4974,30,"Very happy with the final product, but the timeline was delayed.",3.35033051128474,3.827079082438768,5.299523486986867,2022,423616,0.5
Celina,27945,Married,2,719,Own,115811.79889492688,0.350259945255815,Suburban,2077.4607096792074,3,2,1,Upstairs,1.2370626914998804,2021-05-15,600772,511976.36320803914,2.988984017679512,1000,30,The process was smooth but some issues with the kitchen.,0.005665144307003267,2.9794526765267397,2.2401422785629723,2021,288643,0.4
Josephine,40385,Unmarried,3,392,Rent,155634.77297940123,0.5024088083398074,Rural,2466.8634398161885,2,1,3,Downstairs,1.3016301520895208,2022-10-08,181045,408195.73670009174,4.318686183860659,4974,30,"Very happy with the final product, but the timeline was delayed.",1.3712410485838649,3.12040201766401,2.2401422785629723,2020,649792,0.5
Dallas,11754,Unmarried,2,570,Own,164720.9844985047,0.5283497477476393,Urban,2998.7123326806404,4,3,2,Upstairs,1.7887269855976216,2021-03-19,832054,658832.2648932365,6.031509990008474,4371,17,"Very happy with the final product, but the timeline was delayed.",0.8048805703209456,5.109517082328124,2.2401422785629723,2021,110424,0.5
Celina,86524,Unmarried,3,656,Own,11663.168294493407,0.19567400549173564,Rural,530.3558403278427,4,3,2,Upstairs,1.6267323117139023,2020-04-18,694906,100000.0,4.150742532038831,3777,16,"Very happy with the final product, but the timeline was delayed.",5.329342333877003,5.749590379235466,4.2875120623594505,2022,990414,0.5
Frisco,10709,Married,3,682,Own,118387.11186311406,0.41533716717764674,Suburban,2123.536362627587,5,3,2,Upstairs,1.1473629832616488,2023-12-27,998537,401425.3641896255,5.0145843540568595,2894,16,"Very happy with the final product, but the timeline was delayed.",0.9209003119065724,3.716294511921923,2.2401422785629723,2021,990414,0.5
Frisco,10709,Unmarried,3,693,Own,167645.7829441148,0.5434410667520045,Suburban,2734.5888258216737,4,1,2,Downstairs,1.9733532516116845,2020-04-24,998537,522183.9546304849,3.15106219299595,3906,15,"The home is fantastic, I love the upgrades!",0.005665144307003267,1.3015824975977726,4.927377417538326,2021,104621,0.5125
Frisco,48965,Unmarried,1,755,Rent,26044.445627279245,0.36922989455792393,Suburban,500.0,3,3,1,Downstairs,1.30460565321624,2023-07-18,913374,201475.58966673363,7.411487082098828,4974,20,The process was smooth but some issues with the kitchen.,8.432593159815557,8.100321084769163,5.492030089864526,2021,911878,0.4
Dallas,40817,Unmarried,2,434,Own,47168.446032169064,0.5401263507525433,Urban,814.2272790896336,3,3,1,Upstairs,1.4508761270683916,2021-03-19,998537,369720.0983189787,3.429039266675195,4974,15,"Very happy with the final product, but the timeline was delayed.",4.288008489941657,1.6751580157437989,2.2401422785629723,2021,964640,0.5
Aubrey,17948,Unmarried,2,427,Own,18711.268965744162,0.03676704188810669,Urban,500.0,3,1,1,Upstairs,0.9200845025593429,2020-12-25,416160,160496.41459677625,6.9799170478683275,4974,30,The process was smooth but some issues with the kitchen.,2.9102939318872765,6.291195385297871,5.232497491099503,2020,514092,0.4
Frisco,37772,Unmarried,3,632,Own,159718.82888945422,0.13985368032320736,Rural,3606.8971079146568,3,3,3,Upstairs,1.9246842077346105,2021-11-20,922504,651400.6617884192,7.411487082098828,4416,16,"Very happy with the final product, but the timeline was delayed.",5.975391944380199,3.7448335870446656,3.455623447583337,2021,765055,0.5
McKinney,45966,Married,2,735,Own,127623.4193511855,0.016670004076671695,Urban,2269.4721080877803,1,1,1,Upstairs,0.9464076931700066,2020-07-27,305677,381852.648638253,6.062081915054734,2455,15,Had a terrible experience with the customer service.,0.005665144307003267,9.94994468693818,2.517090474677076,2021,273462,-1.0
